PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2019,40,X,1.97633,X,X,X,X,X,X,937,101,47411
States,Alaska,2019,40,X,1.04516,X,X,X,X,X,X,53,18,5071
States,Arizona,2019,40,X,0.759506,X,X,X,X,X,X,161,51,21198
States,Arkansas,2019,40,X,1.19323,X,X,X,X,X,X,62,15,5196
States,California,2019,40,X,1.36469,X,X,X,X,X,X,769,118,56350
States,Colorado,2019,40,X,2.48564,X,X,X,X,X,X,870,69,35001
States,Connecticut,2019,40,X,1.24979,X,X,X,X,X,X,512,76,40967
States,Delaware,2019,40,X,0,X,X,X,X,X,X,0,6,1260
States,District of Columbia,2019,40,X,0.563736,X,X,X,X,X,X,67,4,11885
States,Florida,2019,40,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2019,40,X,2.38229,X,X,X,X,X,X,1995,95,83743
States,Hawaii,2019,40,X,2.31065,X,X,X,X,X,X,72,19,3116
States,Idaho,2019,40,X,0.615385,X,X,X,X,X,X,12,7,1950
States,Illinois,2019,40,X,1.40703,X,X,X,X,X,X,1157,183,82230
States,Indiana,2019,40,X,0.949495,X,X,X,X,X,X,47,25,4950
States,Iowa,2019,40,X,0.875912,X,X,X,X,X,X,60,19,6850
States,Kansas,2019,40,X,0.89368,X,X,X,X,X,X,126,30,14099
States,Kentucky,2019,40,X,1.24969,X,X,X,X,X,X,149,33,11923
States,Louisiana,2019,40,X,4.22762,X,X,X,X,X,X,2341,100,55374
States,Maine,2019,40,X,0.822834,X,X,X,X,X,X,128,54,15556
States,Maryland,2019,40,X,1.26484,X,X,X,X,X,X,667,74,52734
States,Massachusetts,2019,40,X,0.934375,X,X,X,X,X,X,555,72,59398
States,Michigan,2019,40,X,0.797603,X,X,X,X,X,X,181,73,22693
States,Minnesota,2019,40,X,2.42367,X,X,X,X,X,X,181,21,7468
States,Mississippi,2019,40,X,1.94113,X,X,X,X,X,X,364,44,18752
States,Missouri,2019,40,X,0.447427,X,X,X,X,X,X,16,16,3576
States,Montana,2019,40,X,1.00762,X,X,X,X,X,X,82,38,8138
States,Nebraska,2019,40,X,1.62049,X,X,X,X,X,X,186,65,11478
States,Nevada,2019,40,X,0.867925,X,X,X,X,X,X,92,28,10600
States,New Hampshire,2019,40,X,0.401786,X,X,X,X,X,X,9,13,2240
States,New Jersey,2019,40,X,2.00734,X,X,X,X,X,X,667,41,33228
States,New Mexico,2019,40,X,0.91895,X,X,X,X,X,X,211,52,22961
States,New York,2019,40,X,0.865685,X,X,X,X,X,X,518,131,59837
States,North Carolina,2019,40,X,1.08346,X,X,X,X,X,X,1200,155,110756
States,North Dakota,2019,40,X,0.920162,X,X,X,X,X,X,34,13,3695
States,Ohio,2019,40,X,0.616381,X,X,X,X,X,X,118,46,19144
States,Oklahoma,2019,40,X,1.35709,X,X,X,X,X,X,131,28,9653
States,Oregon,2019,40,X,1.09647,X,X,X,X,X,X,466,94,42500
States,Pennsylvania,2019,40,X,0.923485,X,X,X,X,X,X,487,124,52735
States,Rhode Island,2019,40,X,0.140801,X,X,X,X,X,X,9,23,6392
States,South Carolina,2019,40,X,2.03774,X,X,X,X,X,X,243,25,11925
States,South Dakota,2019,40,X,0.665014,X,X,X,X,X,X,110,30,16541
States,Tennessee,2019,40,X,1.59221,X,X,X,X,X,X,695,86,43650
States,Texas,2019,40,X,2.15822,X,X,X,X,X,X,637,114,29515
States,Utah,2019,40,X,1.48896,X,X,X,X,X,X,311,53,20887
States,Vermont,2019,40,X,0.867052,X,X,X,X,X,X,48,17,5536
States,Virginia,2019,40,X,1.70235,X,X,X,X,X,X,1691,151,99333
States,Washington,2019,40,X,0.968318,X,X,X,X,X,X,206,46,21274
